date	month	year	mld
2006-11-08	11	2006	49.1399917603
2006-11-09	11	2006	49.0717315674
2006-11-10	11	2006	49.2496871948
2006-11-11	11	2006	49.7102661133
2006-11-12	11	2006	50.1582183838
2006-11-13	11	2006	50.8379135132
2006-11-14	11	2006	51.2847900391
2006-11-15	11	2006	31.0047607422
2006-11-16	11	2006	51.9244651794
2006-11-17	11	2006	51.8579444885
2006-11-18	11	2006	51.4962425232
2006-11-19	11	2006	51.0989341736
2006-11-20	11	2006	50.4288253784
2006-11-21	11	2006	49.7729873657
2006-11-22	11	2006	49.4058570862
2006-11-23	11	2006	49.1026496887
2006-11-24	11	2006	49.0822715759
2006-11-25	11	2006	49.3244857788
2006-11-26	11	2006	49.8322982788
2006-11-27	11	2006	50.2972984314
2006-11-28	11	2006	50.9736785889
2006-11-29	11	2006	51.3991737366
2006-11-30	11	2006	51.8101882935
2006-12-01	12	2006	51.9211006165
2006-12-02	12	2006	51.807384491
2006-12-03	12	2006	51.3901176453
2006-12-04	12	2006	50.9675216675
2006-12-05	12	2006	50.2878379822
2006-12-06	12	2006	49.654510498
2006-12-07	12	2006	49.3202056885
2006-12-08	12	2006	49.0790290833
2006-12-09	12	2006	49.1067581177
2006-12-10	12	2006	13.7053909302
2006-12-11	12	2006	49.9608573914
2006-12-12	12	2006	50.438369751
2006-12-13	12	2006	34.962184906
2006-12-14	12	2006	51.5047149658
2006-12-15	12	2006	44.6794319153
2006-12-16	12	2006	16.5545749664
2006-12-17	12	2006	14.3525457382
2006-12-18	12	2006	15.6244897842
2006-12-19	12	2006	9.8646059036
2006-12-20	12	2006	4.4466304779
2006-12-21	12	2006	3.8314449787
2006-12-22	12	2006	0
2006-12-23	12	2006	4.0659637451
2006-12-24	12	2006	5.301170826
2006-12-25	12	2006	8.1350603104
2006-12-26	12	2006	10.2577486038
2006-12-27	12	2006	14.7115974426
2006-12-28	12	2006	12.8884143829
2006-12-29	12	2006	51.6003761292
2006-12-30	12	2006	51.8962936401
2006-12-31	12	2006	51.8725090027
2007-01-01	1	2007	51.6683044434
2007-01-02	1	2007	51.1526756287
2007-01-03	1	2007	50.692237854
2007-01-04	1	2007	50.0134544373
2007-01-05	1	2007	49.4434738159
2007-01-06	1	2007	49.184425354
2007-01-07	1	2007	49.0737419128
2007-01-08	1	2007	49.1964492798
2007-01-09	1	2007	49.6146736145
2007-01-10	1	2007	50.232460022
2007-01-11	1	2007	50.7209320068
