date temp
2013-11-25 12.5985
2013-12-2 12.2132
2013-12-9 11.8604
2013-12-17 11.6339
2014-1-14 9.6142
2014-1-20 9.529
2014-1-29 9.7786
2014-2-10 9.3298
2014-2-18 9.2004
2014-3-5 8.8993
2014-3-11 9.3749
2014-3-17 9.6128
2014-3-25 9.4036
2014-3-31 9.4831
2014-4-9 10.1963
2014-4-14 10.4189
2014-4-22 10.3737
2014-4-28 10.9735
2014-5-6 11.3337
2014-5-12 10.8668
2014-5-19 12.3949
2014-5-28 13.631
2014-6-2 13.485
2014-6-9 14.0791
2014-6-16 15.6185
2014-6-23 17.2003
2014-6-30 16.0857
2014-7-7 17.073
2014-7-14 15.9334
2014-7-22 17.1236
2014-7-28 18.106
2014-8-4 17.5464
2014-8-18 15.1869
2014-8-26 15.6887
2014-9-1 16.1252
2014-9-8 16.7622
2014-9-15 16.2017
2014-9-22 17.0227
2014-9-29 17.2424
2014-10-13 16.0766
2014-10-28 14.9915
2014-11-5 14.4714
2014-11-17 13.3915
2014-11-23 13.6023
2014-12-2 13.1861
2014-12-8 12.4784
2014-12-15 11.987
2015-1-5 11.2291
2015-1-19 10.9693
2015-1-27 10.0689
2015-2-2 10.0176
2015-2-9 9.3339
2015-2-16 9.2369
2015-3-10 9.2279
2015-3-16 9.024
2015-3-23 9.1351
2015-3-30 9.2465
2015-4-7 9.4847
2015-4-13 9.8545
2015-4-20 10.1819
2015-4-27 10.408
2015-5-7 10.87
2015-5-11 11.6577
2015-5-20 11.213
2015-5-27 12.498
2015-6-3 11.4971
2015-6-8 12.6012
2015-6-15 13.3084
2015-6-22 13.6326
2015-6-29 15.5829
2015-7-6 15.7253
2015-7-14 15.1656
2015-7-20 16.1745
2015-7-28 14.9799
2015-8-3 15.6636
2015-8-10 15.8228
2015-8-17 16.7074
2015-8-24 16.5842
2015-9-1 15.8465
2015-9-7 15.3811
2015-9-16 15.8555
2015-9-29 15.6198
2015-10-7 15.43
2015-10-13 15.1999
2015-10-19 14.9542
2015-10-27 14.7025
2015-11-2 14.6159
2015-11-16 13.975
2015-11-23 13.5099
2015-12-7 12.6007
2015-12-15 12.2995
2016-1-5 11.6712
2016-1-13 11.1221
2016-1-19 10.7535
2016-1-28 10.2559
2016-2-2 10.5174
2016-2-10 10.3029
2016-2-15 10.2026
2016-2-23 9.8786
2016-2-29 9.7852
2016-3-7 9.4476
2016-3-14 9.535
2016-3-21 9.3575
2016-3-30 9.4664
2016-4-4 9.601
2016-4-11 9.7665
2016-4-18 9.999
2016-4-25 10.1619
2016-5-3 10.2434
2016-5-10 10.6542
2016-5-16 11.7996
2016-5-23 12.0477
2016-6-1 12.7764
2016-6-8 13.0367
2016-6-13 14.1502
2016-6-20 14.0576
2016-6-27 13.8076
2016-7-4 14.456
2016-7-12 14.6501
2016-7-18 16.3623
2016-7-25 16.7545
2016-8-1 16.1212
2016-8-8 15.5387
2016-8-15 16.2384
2016-8-23 16.6494
2016-9-1 16.8924
2016-9-5 16.4816
2016-9-13 17.0744
2016-9-19 16.2409
2016-9-28 16.272
2016-10-10 15.8027
2016-10-19 15.2844
2016-10-24 15.1947
2016-11-1 15.24
2016-11-7 14.7682
2016-11-14 14.1343
2016-11-23 12.5179
2016-11-28 12.8687
2016-12-5 12.1283
2016-12-12 12.276
2016-12-19 12.1021
2017-1-3 11.6284
2017-1-10 10.9251
2017-1-16 10.6707
